Timestamp,Value
2022-07-08 10:15:00.000,1.0
2022-07-08 10:15:00.100,1.0
2022-07-08 10:15:00.200,1.0
2022-07-08 10:15:00.300,1.0
2022-07-08 10:15:00.400,1.0
2022-07-08 10:15:00.500,1.0
2022-07-08 10:15:00.600,1.0
2022-07-08 10:15:00.700,1.0
2022-07-08 10:15:00.800,1.0
2022-07-08 10:15:00.900,1.0
2022-07-08 10:15:01.000,1.0
2022-07-08 10:15:01.100,1.0
2022-07-08 10:15:01.200,1.0
2022-07-08 10:15:01.300,1.0
2022-07-08 10:15:01.400,1.0
2022-07-08 10:15:01.500,1.0
2022-07-08 10:15:01.600,1.0
2022-07-08 10:15:01.700,1.0
2022-07-08 10:15:01.800,1.0
2022-07-08 10:15:01.900,1.0
2022-07-08 10:15:02.000,1.0
2022-07-08 10:15:02.100,1.0
2022-07-08 10:15:02.200,1.0
2022-07-08 10:15:02.300,1.0
2022-07-08 10:15:02.400,1.0
2022-07-08 10:15:02.500,1.0
2022-07-08 10:15:02.600,1.0
2022-07-08 10:15:02.700,1.0
2022-07-08 10:15:02.800,1.0
2022-07-08 10:15:02.900,1.0
2022-07-08 10:15:03.000,1.0
2022-07-08 10:15:03.100,1.0
2022-07-08 10:15:03.200,1.0
2022-07-08 10:15:03.300,1.0
2022-07-08 10:15:03.400,1.0
2022-07-08 10:15:03.500,1.0
2022-07-08 10:15:03.600,1.0
2022-07-08 10:15:03.700,1.0
2022-07-08 10:15:03.800,1.0
2022-07-08 10:15:03.900,1.0
2022-07-08 10:15:04.000,1.0
2022-07-08 10:15:04.100,1.0
2022-07-08 10:15:04.200,1.0
2022-07-08 10:15:04.300,1.0
2022-07-08 10:15:04.400,1.0
2022-07-08 10:15:04.500,1.0
2022-07-08 10:15:04.600,1.0
2022-07-08 10:15:04.700,1.0
2022-07-08 10:15:04.800,1.0
2022-07-08 10:15:04.900,1.0
2022-07-08 10:15:05.000,1.0
2022-07-08 10:15:05.100,1.0
2022-07-08 10:15:05.200,1.0
2022-07-08 10:15:05.300,1.0
2022-07-08 10:15:05.400,1.0
2022-07-08 10:15:05.500,1.0
